iter	Passed	Remaining
0	149	149160
1	153	76478
2	155	51691
3	160	40037
4	162	32419
5	165	27344
6	166	23653
7	168	20907
8	170	18758
9	172	17037
10	173	15626
11	175	14454
12	177	13460
13	179	12657
14	181	11945
15	184	11321
16	186	10779
17	188	10302
18	190	9861
19	193	9473
20	195	9125
21	197	8798
22	201	8559
23	203	8295
24	206	8065
25	208	7829
26	211	7609
27	214	7451
28	218	7306
29	220	7131
30	223	6972
31	234	7079
32	237	6955
33	246	7006
34	249	6886
35	252	6756
36	254	6622
37	258	6538
38	261	6434
39	263	6329
40	265	6218
41	269	6153
42	277	6179
43	283	6160
44	286	6077
45	294	6111
46	297	6023
47	299	5947
48	302	5873
49	304	5794
50	354	6595
51	356	6502
52	364	6518
53	368	6449
54	372	6398
55	376	6343
56	379	6286
57	382	6209
58	384	6133
59	387	6076
60	390	6004
61	413	6254
62	419	6239
63	421	6168
64	424	6102
65	426	6035
66	432	6023
67	434	5959
68	437	5904
69	439	5842
70	441	5781
71	444	5726
72	452	5751
73	457	5721
74	468	5773
75	471	5734
76	477	5721
77	480	5676
78	482	5623
79	484	5573
80	487	5527
81	489	5481
82	493	5449
83	495	5403
84	513	5523
85	514	5473
86	517	5425
87	519	5378
88	523	5354
89	526	5324
90	529	5284
91	531	5242
92	534	5215
93	536	5173
94	541	5162
95	543	5121
96	546	5085
97	552	5083
98	556	5060
99	558	5028
100	564	5022
101	566	4991
102	570	4971
103	573	4940
104	575	4908
105	580	4896
106	582	4864
107	585	4832
108	588	4811
109	590	4778
110	593	4753
111	595	4718
112	598	4696
113	600	4663
114	601	4626
115	602	4593
116	605	4567
117	607	4539
118	609	4508
119	610	4478
120	612	4448
121	614	4419
122	615	4389
123	617	4361
124	620	4340
125	621	4314
126	624	4290
127	625	4263
128	627	4237
129	629	4211
130	632	4198
131	635	4176
132	637	4155
133	639	4135
134	642	4115
135	644	4092
136	646	4075
137	650	4066
138	652	4043
139	657	4037
140	660	4023
141	664	4015
142	666	3996
143	669	3981
144	672	3966
145	675	3952
146	677	3933
147	680	3915
148	682	3896
149	684	3878
150	687	3863
151	689	3844
152	690	3824
153	692	3805
154	694	3785
155	696	3769
156	700	3761
157	703	3746
158	704	3727
159	706	3710
160	708	3692
161	710	3675
162	711	3654
163	714	3643
164	717	3630
165	720	3619
166	722	3605
167	725	3591
168	727	3578
169	729	3563
170	731	3547
171	733	3530
172	735	3514
173	737	3502
174	740	3489
175	742	3475
176	744	3462
177	747	3453
178	750	3440
179	752	3430
180	755	3416
181	757	3403
182	759	3389
